wait,correctSequence,userInput
1.0,"['65' '12' '81' '88' '95' '10' '64' '57' '98' '26' '87' '55' '63' '37'
 '44' '80' '59' '38' '33' '11']",['10' '88' '44' '29' '34' '64']
1.0,"['74' '52' '63' '51' '45' '44' '56' '33' '73' '41' '27' '92' '90' '62'
 '78' '19' '18' '30' '14' '49']",['19' '18' '30' '49' '70' '14' '58' '52' '31' '42']
1.0,"['25' '47' '12' '64' '58' '37' '19' '16' '31' '33' '30' '67' '70' '39'
 '91' '21' '74' '63' '44' '90']",['44' '90' '63' '33' '31' '34' '71' '64']
1.5,"['78' '18' '73' '53' '82' '77' '41' '58' '13' '34' '37' '50' '30' '91'
 '25' '83' '65' '98' '79' '29']",['79' '29' '98' '58' '53' '31' '27' '29' '93' '51' '71']
1.5,"['52' '93' '53' '34' '59' '99' '78' '23' '27' '72' '63' '81' '36' '42'
 '17' '22' '65' '28' '77' '33']",['58' '78' '63' '99' '53' '17' '56']
1.5,"['37' '81' '12' '69' '28' '23' '97' '16' '40' '58' '60' '68' '96' '54'
 '85' '24' '31' '55' '74' '64']",['21' '74' '64' '31' '20' '69' '37' '41']
1.5,"['78' '67' '96' '73' '34' '27' '90' '41' '65' '85' '48' '33' '24' '10'
 '68' '82' '87' '70' '84' '47']",['50' '84' '47' '38' '51' '23' '68' '96']
1.5,"['88' '84' '56' '19' '12' '91' '62' '15' '99' '36' '38' '50' '13' '83'
 '79' '49' '65' '24' '66' '75']",['62' '24' '56' '76' '49' '99' '50' '83' '24' '66']
1.5,"['39' '50' '36' '91' '11' '53' '63' '33' '21' '73' '40' '44' '59' '94'
 '19' '85' '81' '74' '57' '61']",['19' '75' '57' '91' '17' '40' '50' '44' '39' '40' '90']
2.5,"['58' '79' '49' '82' '88' '97' '52' '61' '89' '71' '40' '32' '57' '34'
 '26' '73' '36' '29' '10' '72']",['36' '29' '10' '76' '58' '71' '49' '40']
2.5,"['12' '54' '70' '10' '88' '47' '30' '91' '83' '14' '13' '15' '73' '33'
 '90' '87' '99' '78' '59' '17']",['12' '13' '14' '15' '17' '99' '78' '59' '59']
2.5,"['35' '90' '42' '59' '83' '25' '61' '77' '38' '85' '23' '19' '14' '74'
 '10' '31' '48' '76' '50' '94']",['48' '76' '50' '96' '25' '23' '19' '59' '43']
2.5,"['41' '24' '39' '48' '77' '13' '29' '61' '85' '64' '15' '34' '73' '84'
 '45' '52' '35' '86' '14' '38']",['35' '86' '14' '38' '77' '14' '15' '84' '89']
2.5,"['10' '66' '15' '82' '52' '98' '47' '29' '95' '27' '94' '46' '24' '32'
 '11' '64' '40' '18' '28' '85']",['27' '28' '85' '98' '96' '10' '11' '15' '18' '40' '44' '95' '26']
2.5,"['36' '35' '19' '13' '59' '99' '28' '97' '76' '88' '67' '74' '47' '43'
 '68' '38' '33' '66' '69' '84']","['33' '38' '63' '66' '89' '74' '47' '76' '67' '96' '33' '34' '35' '19'
 '13' '81']"
2.5,"['47' '29' '37' '89' '98' '30' '65' '67' '43' '44' '14' '45' '50' '16'
 '13' '86' '70' '17' '75' '36']",['86' '70' '17' '36' '88' '89' '98' '11' '37' '47' '67' '44' '43' '45']
2.5,"['34' '30' '90' '50' '81' '74' '53' '14' '52' '40' '25' '17' '13' '56'
 '73' '72' '67' '97' '11' '18']",['57' '77' '11' '18' '12' '15' '40' '50' '60' '90' '20' '52' '53' '14']
4.0,"['27' '34' '29' '91' '45' '17' '55' '85' '94' '56' '46' '35' '62' '74'
 '72' '83' '59' '48' '81' '36']",['81' '86' '36' '27' '45' '55' '65' '54' '29' '34' '17' '74']
4.0,"['42' '19' '91' '90' '97' '10' '84' '24' '64' '46' '66' '25' '92' '79'
 '34' '45' '21' '73' '57' '47']",['47' '57' '11' '19' '91' '90' '92' '47' '24' '34' '64' '84' '71' '29']
4.0,"['74' '43' '62' '45' '96' '17' '38' '35' '97' '25' '11' '91' '22' '83'
 '77' '93' '79' '86' '52' '73']",['52' '73' '83' '86' '93' '11' '22' '66' '91']
4.0,"['69' '33' '14' '64' '20' '56' '82' '39' '31' '66' '51' '73' '49' '88'
 '12' '13' '94' '28' '18' '43']","['18' '28' '43' '12' '13' '14' '15' '81' '99' '93' '88' '33' '66' '69'
 '47' '25' '20']"
4.0,"['70' '49' '72' '84' '33' '68' '28' '46' '10' '37' '60' '90' '26' '58'
 '82' '75' '24' '41' '66' '23']",['70' '60' '26' '90' '23' '43' '37' '93' '47' '73' '10' '60' '43']
4.0,"['26' '79' '81' '37' '57' '20' '76' '55' '96' '45' '18' '42' '35' '51'
 '29' '30' '33' '12' '95' '24']",['24' '12' '95' '96' '12' '50' '51' '53' '26' '25' '55']
4.0,"['73' '82' '57' '21' '77' '99' '58' '50' '68' '20' '30' '86' '87' '42'
 '69' '80' '91' '47' '37' '54']",['37' '47' '77' '86' '87' '82' '91' '99' '20' '30' '73' '41' '37' '47']
4,"['33' '85' '56' '94' '38' '81' '18' '41' '23' '44' '20' '47' '37' '90'
 '89' '14' '96' '21' '68' '11']","['26' '91' '68' '11' '20' '90' '24' '33' '89' '90' '18' '81' '77' '37'
 '47']"
