wait,correctSequence,userInput
2.5,"['46' '27' '59' '68' '10' '57' '45' '35' '77' '87' '95' '73' '56' '44'
 '49' '99' '75' '53' '83' '43']",['53' '43' '83' '77' '78' '87' '99' '27' '59' '68' '10']
2.5,"['54' '70' '16' '76' '28' '90' '46' '60' '44' '49' '52' '68' '32' '41'
 '92' '53' '99' '97' '64' '19']",['19' '99' '49' '97' '53' '92' '90' '44' '41' '32' '68']
2.5,"['45' '99' '59' '28' '73' '42' '71' '78' '26' '85' '93' '56' '19' '38'
 '86' '30' '18' '50' '63' '49']",['63' '49' '73' '99' '50' '18' '30' '86' '38' '19']
2.5,"['43' '20' '46' '82' '36' '52' '74' '23' '73' '94' '28' '92' '89' '33'
 '22' '35' '16' '40' '78' '41']",['78' '41' '33' '22' '35' '47' '43' '92' '28' '94']
4.0,"['45' '48' '44' '91' '96' '80' '14' '90' '94' '47' '75' '43' '89' '22'
 '18' '76' '62' '79' '19' '35']",['35' '19' '79' '76' '62' '43' '44' '45' '47' '48' '86' '96']
4.0,"['44' '69' '37' '60' '86' '29' '32' '85' '72' '66' '99' '96' '30' '43'
 '70' '79' '16' '28' '11' '94']",['16' '28' '11' '94' '70' '79' '99' '44' '67' '43']
4.0,"['61' '49' '89' '29' '94' '20' '92' '33' '95' '70' '93' '87' '66' '81'
 '60' '39' '69' '76' '30' '25']",['25' '30' '79' '49' '39' '29' '33' '94' '93' '96' '76' '60' '70' '80']
4.0,"['74' '59' '24' '14' '66' '75' '98' '60' '69' '43' '82' '49' '56' '46'
 '85' '52' '37' '38' '94' '33']",['37' '33' '38' '14' '24' '74' '56' '49' '85' '98']
0.5,"['73' '56' '40' '28' '64' '51' '80' '27' '91' '32' '76' '15' '38' '23'
 '94' '68' '62' '19' '48' '85']",['73' '15' '38' '23']
0.5,"['42' '33' '29' '87' '78' '90' '16' '81' '71' '93' '35' '25' '53' '60'
 '67' '47' '99' '19' '39' '88']",['47' '16' '19' '90']
0.5,"['95' '57' '62' '50' '43' '61' '21' '37' '11' '84' '32' '73' '97' '58'
 '26' '14' '70' '19' '48' '68']",['62' '14' '26']
0.5,"['60' '93' '86' '31' '74' '41' '79' '64' '35' '28' '18' '50' '90' '46'
 '84' '19' '75' '57' '95' '68']",['41' '35' '79' '18' '68']
1.0,"['43' '77' '61' '25' '53' '69' '21' '39' '10' '87' '46' '74' '82' '32'
 '91' '26' '68' '57' '92' '19']",['53' '21' '91' '74' '82' '39']
1.0,"['19' '45' '67' '32' '54' '78' '42' '29' '83' '61' '37' '99' '15' '62'
 '44' '87' '27' '70' '10' '24']",['87' '32' '99' '15' '54']
1.0,"['56' '88' '66' '39' '94' '48' '51' '28' '17' '36' '58' '85' '73' '11'
 '64' '42' '77' '31' '69' '23']",['51' '48' '73' '94' '64' '36']
1.0,"['22' '41' '75' '26' '58' '49' '33' '81' '55' '92' '65' '34' '63' '10'
 '87' '19' '72' '43' '39' '30']",['26' '55' '72' '19' '87' '49']
1.5,"['91' '76' '59' '64' '33' '27' '53' '11' '18' '20' '41' '87' '23' '66'
 '58' '42' '29' '48' '93' '14']",['27' '58' '42' '23' '66' '11' '33']
1.5,"['44' '39' '73' '52' '16' '19' '95' '74' '68' '22' '86' '21' '63' '41'
 '79' '24' '35' '57' '99' '31']",['74' '16' '79' '24' '86' '39' '57']
1.5,"['46' '29' '83' '40' '77' '92' '71' '68' '37' '22' '35' '94' '85' '11'
 '49' '27' '32' '90' '19' '25']",['68' '19' '25' '40' '71' '35' '49' '32']
1.5,"['62' '75' '23' '18' '55' '42' '63' '31' '26' '81' '95' '58' '12' '39'
 '47' '69' '30' '99' '72' '78']",['12' '39' '47' '23' '26' '62' '31' '63']
2.5,"['85' '41' '56' '72' '97' '21' '58' '69' '75' '49' '66' '19' '30' '53'
 '27' '68' '34' '42' '95' '87']",['41' '53' '95' '30' '75' '21' '19' '69' '27' '97']
2.5,"['64' '79' '24' '93' '46' '54' '65' '87' '32' '29' '44' '13' '57' '73'
 '18' '85' '41' '67' '22' '61']",['85' '13' '46' '24' '65' '67' '22' '32' '57']
2.5,"['51' '25' '60' '47' '38' '76' '44' '28' '19' '71' '99' '84' '12' '26'
 '37' '69' '58' '81' '15' '95']",['76' '25' '12' '69' '26' '81' '15' '99' '44' '47']
2.5,"['14' '89' '78' '43' '54' '99' '65' '36' '83' '48' '58' '91' '10' '32'
 '71' '28' '24' '70' '22' '63']",['91' '10' '78' '58' '54' '28' '36' '32' '22']
4.0,"['32' '26' '90' '52' '61' '35' '81' '77' '55' '96' '83' '14' '62' '24'
 '73' '40' '94' '67' '31' '59']",['14' '77' '55' '62' '96' '94' '26' '81' '52' '73' '59']
4.0,"['74' '25' '17' '43' '86' '88' '54' '41' '66' '35' '71' '58' '38' '65'
 '99' '80' '13' '44' '95' '28']",['88' '58' '66' '65' '25' '35' '41' '99' '13' '44' '95' '80']
4.0,"['84' '42' '91' '69' '57' '75' '10' '31' '36' '60' '17' '26' '79' '29'
 '52' '46' '27' '45' '48' '63']",['46' '27' '48' '29' '17' '75' '10' '69' '45' '42' '84' '91']
4.0,"['33' '14' '19' '77' '90' '41' '60' '32' '94' '56' '26' '38' '81' '99'
 '54' '58' '66' '73' '25' '11']",['73' '81' '38' '19' '56' '11' '66' '41' '99' '14' '25' '90']
